network,dex,slug,volume24hUsd,volume7dUsd,volume30dUsd,fees30dUsd,change7dPct,feeToVolume30dPct,health,outcomeTarget,sourceUrl,updatedAt
"OP Mainnet","Velodrome V3","velodrome-v3","11860345","64201898","307906119","134058","-13.1","0.04353859560679923","Watch","Rebalance liquidity","https://defillama.com/protocol/velodrome-v3","2026-07-02T13:20:51.059Z"
"OP Mainnet","Uniswap V3","uniswap-v3","5813671","38070331","204418418","471969","-12.18","0.2308837944338264","Watch","Rebalance liquidity","https://defillama.com/protocol/uniswap-v3","2026-07-02T13:20:51.059Z"
"OP Mainnet","Uniswap V4","uniswap-v4","530785","4176006","25602106","25847","-69.59","0.10095653849726269","At risk","Monitor incentives","https://defillama.com/protocol/uniswap-v4","2026-07-02T13:20:51.059Z"
"OP Mainnet","WOOFi Swap","woofi-swap","1069107","7158089","17349857","2467","-66.47","0.01421913736810626","At risk","Monitor incentives","https://defillama.com/protocol/woofi-swap","2026-07-02T13:20:51.059Z"
"OP Mainnet","Velodrome V2","velodrome-v2","0",,"10033667","97368",,"0.970412910853031","At risk","Rebalance liquidity","https://defillama.com/protocol/velodrome-v2","2026-07-02T13:20:51.059Z"
"OP Mainnet","Solidly V3","solidly-v3","95484","828433","5032945",,"17",,"Watch","Rebalance liquidity","https://defillama.com/protocol/solidly-v3","2026-07-02T13:20:51.059Z"
"OP Mainnet","Curve DEX","curve-dex","87143","661016","3905410","1320","-50.78","0.033799268194632574","At risk","Monitor incentives","https://defillama.com/protocol/curve-dex","2026-07-02T13:20:51.059Z"
"OP Mainnet","SushiSwap V3","sushiswap-v3","62416","528584","1292386","430","65.68","0.03327179341156589","Watch","Rebalance liquidity","https://defillama.com/protocol/sushiswap-v3","2026-07-02T13:20:51.059Z"
"OP Mainnet","Beets DEX","beets-dex","6556","118512","1003760","163","-73.96","0.016238941579660476","At risk","Monitor incentives","https://defillama.com/protocol/beets-dex","2026-07-02T13:20:51.059Z"
"OP Mainnet","Balancer V2","balancer-v2","8144","72168","886059","164","-43.69","0.0185089254778745","Watch","Monitor incentives","https://defillama.com/protocol/balancer-v2","2026-07-02T13:20:51.059Z"
"Base","Aerodrome Slipstream","aerodrome-slipstream","515904326","3173447009","15637502864","7560196","-7.35","0.048346568283640506","Strong","Rebalance liquidity","https://defillama.com/protocol/aerodrome-slipstream","2026-07-02T13:20:51.059Z"
"Base","Uniswap V4","uniswap-v4","60850675","1088674394","6267260396","6072840","-24.85","0.09689784078344524","Watch","Monitor incentives","https://defillama.com/protocol/uniswap-v4","2026-07-02T13:20:51.059Z"
"Base","Uniswap V3","uniswap-v3","127587669","806210759","3646776051","11162190","-8.16","0.306083780410348","Strong","Rebalance liquidity","https://defillama.com/protocol/uniswap-v3","2026-07-02T13:20:51.059Z"
"Base","PancakeSwap AMM V3","pancakeswap-amm-v3","115010102","643294667","3491393343","519158","-0.06","0.014869650852742661","Strong","Improve fee efficiency","https://defillama.com/protocol/pancakeswap-amm-v3","2026-07-02T13:20:51.059Z"
"Base","Metric","metric","5452803","86899429","665394924",,"-68.82",,"At risk","Monitor incentives","https://defillama.com/protocol/metric","2026-07-02T13:20:51.059Z"
"Base","Tessera V","tessera-v","5522822","95617653","448438048",,"-75.25",,"At risk","Monitor incentives","https://defillama.com/protocol/tessera-v","2026-07-02T13:20:51.059Z"
"Base","Aerodrome V1","aerodrome-v1","10444896","60521638","318258283","1475141","-15.14","0.4635043544176979","Watch","Rebalance liquidity","https://defillama.com/protocol/aerodrome-v1","2026-07-02T13:20:51.059Z"
"Unichain","Uniswap V4","uniswap-v4","5576424","31140867","220789956","149508","-27.36","0.06771503681988143","Watch","Monitor incentives","https://defillama.com/protocol/uniswap-v4","2026-07-02T13:20:51.059Z"
"Unichain","Uniswap V3","uniswap-v3","6864297","44007375","126483161","514237","-9.09","0.4065655822754145","Strong","Rebalance liquidity","https://defillama.com/protocol/uniswap-v3","2026-07-02T13:20:51.059Z"
"Unichain","Velodrome V3","velodrome-v3","305723","1666962","7987668","1380","-4.34","0.01727663192811719","Strong","Improve fee efficiency","https://defillama.com/protocol/velodrome-v3","2026-07-02T13:20:51.059Z"
"Unichain","EulerSwap","eulerswap","471","1718","34998","0","169.14","0","At risk","Grow TVL","https://defillama.com/protocol/eulerswap","2026-07-02T13:20:51.059Z"
"Unichain","Curve DEX","curve-dex","0","483","21720","299","-100","1.3766114180478821","At risk","Grow TVL","https://defillama.com/protocol/curve-dex","2026-07-02T13:20:51.059Z"
"Mode","KIM Exchange V3","kim-exchange-v3","668","18432","119855","97","-78.4","0.08093112510950731","At risk","Grow TVL","https://defillama.com/protocol/kim-exchange-v3","2026-07-02T13:20:51.059Z"
"Mode","Velodrome V3","velodrome-v3","119","6595","82265","59","-93.15","0.07171944326262687","At risk","Grow TVL","https://defillama.com/protocol/velodrome-v3","2026-07-02T13:20:51.059Z"
"Mode","KIM Exchange V2","kim-exchange-v2","860","4568","21233","65","-10.23","0.30612725474497243","At risk","Grow TVL","https://defillama.com/protocol/kim-exchange-v2","2026-07-02T13:20:51.059Z"
"Mode","SwapMode V2","swapmode-v2","174","1575","11636","35","-60.9","0.30079064970780334","At risk","Grow TVL","https://defillama.com/protocol/swapmode-v2","2026-07-02T13:20:51.059Z"
"Mode","Velodrome V2","velodrome-v2","0",,"8019","0",,"0","At risk","Grow TVL","https://defillama.com/protocol/velodrome-v2","2026-07-02T13:20:51.059Z"
"Mode","MantisSwap","mantisswap","9","485","2924",,"-62.5",,"At risk","Grow TVL","https://defillama.com/protocol/mantisswap","2026-07-02T13:20:51.059Z"
"Mode","SupSwap V3","supswap-v3","1029","921","2118","0","1770.91","0","At risk","Grow TVL","https://defillama.com/protocol/supswap-v3","2026-07-02T13:20:51.059Z"
"Zora","Uniswap V2","uniswap-v2","57","453","2356","1","-56.49","0.042444821731748725","At risk","Grow TVL","https://defillama.com/protocol/uniswap-v2","2026-07-02T13:20:51.059Z"
"Zora","Uniswap V4","uniswap-v4","4","23","113","0","-33.33","0","At risk","Grow TVL","https://defillama.com/protocol/uniswap-v4","2026-07-02T13:20:51.059Z"
